location,share_doses
Alabama,0.62
Alaska,0.71
Arizona,0.77
Arkansas,0.66
California,0.78
Colorado,0.82
Connecticut,0.81
Delaware,0.78
District of Columbia,0.72
Florida,0.73
Georgia,0.67
Hawaii,0.83
Idaho,0.74
Illinois,0.79
Indiana,0.75
Iowa,0.84
Kansas,0.75
Kentucky,0.80
Louisiana,0.73
Maine,0.87
Maryland,0.80
Massachusetts,0.84
Michigan,0.76
Minnesota,0.87
Mississippi,0.64
Missouri,0.73
Montana,0.75
Nebraska,0.80
Nevada,0.81
New Hampshire,0.92
New Jersey,0.86
New Mexico,0.86
New York,0.83
North Carolina,0.72
North Dakota,0.87
Ohio,0.79
Oklahoma,0.70
Oregon,0.79
Pennsylvania,0.80
Rhode Island,0.79
South Carolina,0.71
South Dakota,0.78
Tennessee,0.71
Texas,0.75
Utah,0.86
Vermont,0.81
Virginia,0.82
Washington,0.81
West Virginia,0.70
Wisconsin,0.88
Wyoming,0.72
