State,Date,New Cases
United States,1/22/20,1
United States,1/23/20,0
United States,1/24/20,1
United States,1/25/20,0
United States,1/26/20,3
United States,1/27/20,0
United States,1/28/20,0
United States,1/29/20,0
United States,1/30/20,0
United States,1/31/20,2
United States,2/1/20,1
United States,2/2/20,0
United States,2/3/20,3
United States,2/4/20,0
United States,2/5/20,0
United States,2/6/20,0
United States,2/7/20,1
United States,2/8/20,0
United States,2/9/20,0
United States,2/10/20,0
United States,2/11/20,1
United States,2/12/20,0
United States,2/13/20,1
United States,2/14/20,0
United States,2/15/20,0
United States,2/16/20,0
United States,2/17/20,2
United States,2/18/20,0
United States,2/19/20,1
United States,2/20/20,1
United States,2/21/20,5
United States,2/22/20,2
United States,2/23/20,0
United States,2/24/20,0
United States,2/25/20,4
United States,2/26/20,2
United States,2/27/20,4
United States,2/28/20,4
United States,2/29/20,15
United States,3/1/20,9
United States,3/2/20,32
United States,3/3/20,28
United States,3/4/20,30
United States,3/5/20,70
United States,3/6/20,58
United States,3/7/20,77
United States,3/8/20,166
United States,3/9/20,239
United States,3/10/20,325
United States,3/11/20,316
United States,3/12/20,460
United States,3/13/20,343
United States,3/14/20,423
United States,3/15/20,1274
United States,3/16/20,860
United States,3/17/20,2936
United States,3/18/20,3543
United States,3/19/20,4892
United States,3/20/20,3511
United States,3/21/20,5918
United States,3/22/20,8978
United States,3/23/20,10965
United States,3/24/20,10602
United States,3/25/20,14053
United States,3/26/20,17114
United States,3/27/20,18298
United States,3/28/20,19396
United States,3/29/20,18218
United States,3/30/20,22254
United States,3/31/20,22750
United States,4/1/20,27277
United States,4/2/20,25994
United States,4/3/20,35103
United States,4/4/20,30589
United States,4/5/20,25749
United States,4/6/20,42500
United States,4/7/20,21949
United States,4/8/20,31924
United States,4/9/20,31420
United States,4/10/20,34436
United States,4/11/20,32601
United States,4/12/20,28445
United States,4/13/20,24434
United States,4/14/20,25840
United States,4/15/20,27371
United States,4/16/20,29007
United States,4/17/20,29752
United States,4/18/20,29775
United States,4/19/20,24908
United States,4/20/20,29548
United States,4/21/20,26053
United States,4/22/20,26719
United States,4/23/20,37341
United States,4/24/20,29866
United States,4/25/20,33698
United States,4/26/20,28190
United States,4/27/20,23795
United States,4/28/20,24142
United States,4/29/20,25928
United States,4/30/20,31593
United States,5/1/20,29563
United States,5/2/20,29142
United States,5/3/20,29605
