State,Date,New Deaths,7-Day Moving Avg
United States,Apr 23 2021,860,677
United States,Apr 22 2021,783,683
United States,Apr 21 2021,875,690
United States,Apr 20 2021,733,685
United States,Apr 19 2021,453,682
United States,Apr 18 2021,358,700
United States,Apr 17 2021,678,696
United States,Apr 16 2021,905,704
United States,Apr 15 2021,832,703
United States,Apr 14 2021,838,717
United States,Apr 13 2021,714,708
United States,Apr 12 2021,576,708
United States,Apr 11 2021,332,676
United States,Apr 10 2021,734,683
United States,Apr 9 2021,899,677
United States,Apr 8 2021,928,665
United States,Apr 7 2021,776,643
United States,Apr 6 2021,714,666
United States,Apr 5 2021,353,667
United States,Apr 4 2021,379,704
United States,Apr 3 2021,690,723
United States,Apr 2 2021,816,732
United States,Apr 1 2021,774,785
United States,Mar 31 2021,941,825
United States,Mar 30 2021,718,850
United States,Mar 29 2021,613,851
United States,Mar 28 2021,513,899
United States,Mar 27 2021,753,887
United States,Mar 26 2021,1185,876
United States,Mar 25 2021,1058,883
United States,Mar 24 2021,1112,867
United States,Mar 23 2021,724,854
United States,Mar 22 2021,948,884
United States,Mar 21 2021,435,856
United States,Mar 20 2021,674,876
United States,Mar 19 2021,1233,913
United States,Mar 18 2021,948,890
United States,Mar 17 2021,1017,953
United States,Mar 16 2021,936,1007
United States,Mar 15 2021,751,1052
United States,Mar 14 2021,576,1075
United States,Mar 13 2021,932,1118
United States,Mar 12 2021,1073,1200
United States,Mar 11 2021,1389,1335
United States,Mar 10 2021,1398,1366
United States,Mar 9 2021,1247,1408
United States,Mar 8 2021,911,1509
United States,Mar 7 2021,879,1565
United States,Mar 6 2021,1507,1567
United States,Mar 5 2021,2018,1600
United States,Mar 4 2021,1607,1585
United States,Mar 3 2021,1693,1673
United States,Mar 2 2021,1948,1743
United States,Mar 1 2021,1304,1751
United States,Feb 28 2021,898,1796
United States,Feb 27 2021,1737,1848
United States,Feb 26 2021,1909,1889
United States,Feb 25 2021,2223,1978
United States,Feb 24 2021,2184,2012
United States,Feb 23 2021,2006,2080
United States,Feb 22 2021,1616,2008
United States,Feb 21 2021,1267,1956
United States,Feb 20 2021,2023,1959
United States,Feb 19 2021,2530,1959
United States,Feb 18 2021,2463,1995
United States,Feb 17 2021,2660,2117
United States,Feb 16 2021,1502,2231
United States,Feb 15 2021,1247,2405
United States,Feb 14 2021,1289,2460
United States,Feb 13 2021,2026,2496
United States,Feb 12 2021,2779,2594
United States,Feb 11 2021,3321,2684
United States,Feb 10 2021,3453,2706
United States,Feb 9 2021,2725,2724
United States,Feb 8 2021,1631,2814
United States,Feb 7 2021,1537,2848
United States,Feb 6 2021,2715,2925
United States,Feb 5 2021,3412,2939
United States,Feb 4 2021,3471,2950
United States,Feb 3 2021,3583,2970
United States,Feb 2 2021,3351,3019
United States,Feb 1 2021,1873,3073
United States,Jan 31 2021,2075,3119
United States,Jan 30 2021,2813,3120
United States,Jan 29 2021,3485,3190
United States,Jan 28 2021,3614,3235
United States,Jan 27 2021,3923,3284
United States,Jan 26 2021,3728,3338
United States,Jan 25 2021,2200,3139
United States,Jan 24 2021,2078,3103
United States,Jan 23 2021,3307,3098
United States,Jan 22 2021,3800,3130
United States,Jan 21 2021,3958,3103
United States,Jan 20 2021,4298,3094
United States,Jan 19 2021,2337,3071
United States,Jan 18 2021,1946,3337
United States,Jan 17 2021,2046,3388
United States,Jan 16 2021,3528,3421
United States,Jan 15 2021,3614,3415
United States,Jan 14 2021,3891,3420
United States,Jan 13 2021,4139,3457
United States,Jan 12 2021,4197,3413
United States,Jan 11 2021,2302,3335
United States,Jan 10 2021,2281,3304
United States,Jan 9 2021,3483,3221
United States,Jan 8 2021,3650,3082
United States,Jan 7 2021,4148,2914
United States,Jan 6 2021,3835,2786
United States,Jan 5 2021,3646,2774
United States,Jan 4 2021,2089,2748
United States,Jan 3 2021,1698,2731
United States,Jan 2 2021,2508,2725
United States,Jan 1 2021,2478,2587
United States,Dec 31 2020,3254,2465
United States,Dec 30 2020,3745,2404
United States,Dec 29 2020,3470,2360
United States,Dec 28 2020,1968,2328
United States,Dec 27 2020,1658,2318
United States,Dec 26 2020,1536,2328
United States,Dec 25 2020,1626,2483
United States,Dec 24 2020,2827,2643
United States,Dec 23 2020,3441,2732
United States,Dec 22 2020,3245,2733
United States,Dec 21 2020,1897,2692
United States,Dec 20 2020,1730,2684
United States,Dec 19 2020,2619,2664
United States,Dec 18 2020,2746,2626
United States,Dec 17 2020,3448,2668
United States,Dec 16 2020,3450,2581
United States,Dec 15 2020,2959,2550
United States,Dec 14 2020,1838,2506
United States,Dec 13 2020,1589,2497
United States,Dec 12 2020,2353,2449
United States,Dec 11 2020,3043,2446
United States,Dec 10 2020,2835,2364
United States,Dec 9 2020,3236,2370
United States,Dec 8 2020,2653,2305
United States,Dec 7 2020,1772,2289
United States,Dec 6 2020,1256,2241
United States,Dec 5 2020,2330,2200
United States,Dec 4 2020,2466,2061
United States,Dec 3 2020,2881,1917
United States,Dec 2 2020,2782,1709
United States,Dec 1 2020,2536,1640
United States,Nov 30 2020,1437,1574
United States,Nov 29 2020,971,1545
United States,Nov 28 2020,1357,1553
United States,Nov 27 2020,1457,1566
United States,Nov 26 2020,1424,1631
United States,Nov 25 2020,2304,1712
United States,Nov 24 2020,2069,1646
United States,Nov 23 2020,1237,1586
United States,Nov 22 2020,1028,1541
United States,Nov 21 2020,1446,1503
United States,Nov 20 2020,1911,1482
United States,Nov 19 2020,1995,1398
United States,Nov 18 2020,1838,1351
United States,Nov 17 2020,1653,1241
United States,Nov 16 2020,917,1276
United States,Nov 15 2020,764,1265
United States,Nov 14 2020,1299,1240
United States,Nov 13 2020,1320,1211
United States,Nov 12 2020,1667,1199
United States,Nov 11 2020,1068,1125
United States,Nov 10 2020,1903,1137
United States,Nov 9 2020,840,1027
United States,Nov 8 2020,588,999
United States,Nov 7 2020,1096,986
United States,Nov 6 2020,1233,952
United States,Nov 5 2020,1151,926
United States,Nov 4 2020,1152,917
United States,Nov 3 2020,1132,905
United States,Nov 2 2020,642,878
United States,Nov 1 2020,498,871
United States,Oct 31 2020,861,861
United States,Oct 30 2020,1048,860
United States,Oct 29 2020,1092,848
United States,Oct 28 2020,1068,834
United States,Oct 27 2020,938,833
United States,Oct 26 2020,594,820
United States,Oct 25 2020,431,823
United States,Oct 24 2020,854,840
United States,Oct 23 2020,961,805
United States,Oct 22 2020,995,810
United States,Oct 21 2020,1063,794
United States,Oct 20 2020,846,757
United States,Oct 19 2020,614,744
United States,Oct 18 2020,550,717
United States,Oct 17 2020,608,717
United States,Oct 16 2020,996,711
United States,Oct 15 2020,883,698
United States,Oct 14 2020,806,708
United States,Oct 13 2020,751,710
United States,Oct 12 2020,425,696
United States,Oct 11 2020,556,699
United States,Oct 10 2020,560,679
United States,Oct 9 2020,906,693
United States,Oct 8 2020,953,679
United States,Oct 7 2020,823,664
United States,Oct 6 2020,653,662
United States,Oct 5 2020,445,702
United States,Oct 4 2020,416,684
United States,Oct 3 2020,655,670
United States,Oct 2 2020,813,689
United States,Oct 1 2020,848,688
United States,Sep 30 2020,806,689
United States,Sep 29 2020,937,729
United States,Sep 28 2020,314,707
United States,Sep 27 2020,318,733
United States,Sep 26 2020,792,735
United States,Sep 25 2020,805,709
United States,Sep 24 2020,855,722
United States,Sep 23 2020,1084,711
United States,Sep 22 2020,786,722
United States,Sep 21 2020,497,737
United States,Sep 20 2020,329,729
United States,Sep 19 2020,608,757
United States,Sep 18 2020,896,775
United States,Sep 17 2020,777,780
United States,Sep 16 2020,1161,810
United States,Sep 15 2020,892,796
United States,Sep 14 2020,442,738
United States,Sep 13 2020,524,708
United States,Sep 12 2020,739,706
United States,Sep 11 2020,925,711
United States,Sep 10 2020,987,713
United States,Sep 9 2020,1064,710
United States,Sep 8 2020,491,686
United States,Sep 7 2020,232,756
United States,Sep 6 2020,510,797
United States,Sep 5 2020,771,796
United States,Sep 4 2020,940,819
United States,Sep 3 2020,963,813
United States,Sep 2 2020,897,817
United States,Sep 1 2020,985,847
United States,Aug 31 2020,513,860
United States,Aug 30 2020,507,859
United States,Aug 29 2020,928,875
United States,Aug 28 2020,898,869
