date,location_name,deaths_mean,deaths_lower,deaths_upper,totdea_mean,totdea_lower,totdea_upper,deaths_mean_smoothed,deaths_lower_smoothed,deaths_upper_smoothed,totdea_mean_smoothed,totdea_lower_smoothed,totdea_upper_smoothed,confirmed_infections,est_infections_mean,est_infections_lower,est_infections_upper,deaths_mean_p100k_rate,deaths_lower_p100k_rate,deaths_upper_p100k_rate,totdea_mean_p100k_rate,totdea_lower_p100k_rate,totdea_upper_p100k_rate,deaths_mean_smoothed_p100k_rate,deaths_lower_smoothed_p100k_rate,deaths_upper_smoothed_p100k_rate,totdea_mean_smoothed_p100k_rate,totdea_lower_smoothed_p100k_rate,totdea_upper_smoothed_p100k_rate,confirmed_infections_p100k_rate,est_infections_mean_p100k_rate,est_infections_lower_p100k_rate,est_infections_upper_p100k_rate,inf_cuml_mean,inf_cuml_upper,inf_cuml_lower
2/4/20,United States of America,0,,,87,,,0,0,0,0,0,0,0,,,,0,,,0.02652611,,,0,0,0,0,0,0,0,0.014462599,0.011907561,0.019762546,47.43424984,64.81694787,39.05426697
2/5/20,United States of America,0,,,87,,,0.0004,4.00E-04,4.00E-04,0.0004,4.00E-04,4.00E-04,0,,,,0,,,0.02652611,,,1.22E-07,1.22E-07,1.22E-07,1.22E-07,1.22E-07,1.22E-07,0,0.01646208,0.013401858,0.023186798,101.4263704,140.8647141,83.00951112
2/6/20,United States of America,0,,,87,,,72.01288099,72.01288099,72.01288099,72.01328099,72.01328099,72.01328099,0,,,,0,,,0.02652611,,,0.02195657,0.02195657,0.02195657,0.021956692,0.021956692,0.021956692,0,0.018882045,0.015280688,0.027048159,163.3554624,229.5769226,133.1269189
2/7/20,United States of America,0,,,87,,,0.007697398,0.007697398,0.007697398,72.02097839,72.02097839,72.02097839,0,,,,0,,,0.02652611,,,2.35E-06,2.35E-06,2.35E-06,0.021959039,0.021959039,0.021959039,0,0.021797541,0.017488473,0.03153112,234.8467604,332.9922903,190.485392
2/8/20,United States of America,0,,,87,,,0.007664814,0.007664814,0.007664814,72.0286432,72.0286432,72.0286432,0,,,,0,,,0.02652611,,,2.34E-06,2.34E-06,2.34E-06,0.021961376,0.021961376,0.021961376,0,0.02529809,0.020189429,0.036666021,317.8191135,453.249039,256.7024264
2/9/20,United States of America,0,,,87,,,0.004464001,0.004464001,0.004464001,72.0331072,72.0331072,72.0331072,0,,,,0,,,0.02652611,,,1.36E-06,1.36E-06,1.36E-06,0.021962737,0.021962737,0.021962737,0,0.029695557,0.023645427,0.043252253,415.2142244,595.1072281,334.2543986
2/10/20,United States of America,0,,,87,,,0.001228559,0.001228559,0.001228559,72.03433576,72.03433576,72.03433576,0,,,,0,,,0.02652611,,,3.75E-07,3.75E-07,3.75E-07,0.021963112,0.021963112,0.021963112,0,0.035386222,0.028299891,0.051431023,531.2735051,763.7900457,427.0720204
2/11/20,United States of America,0,,,87,,,0.010238783,0.010238783,0.010238783,72.04457454,72.04457454,72.04457454,1,,,,0,,,0.02652611,,,3.12E-06,3.12E-06,3.12E-06,0.021966234,0.021966234,0.021966234,0.000304898,0.045049977,0.036808147,0.06398136,679.027848,973.6352985,547.7949123
2/12/20,United States of America,0,,,87,,,0.018106857,0.018106857,0.018106857,72.0626814,72.0626814,72.0626814,0,,,,0,,,0.02652611,,,5.52E-06,5.52E-06,5.52E-06,0.021971755,0.021971755,0.021971755,0,0.05400032,0.044434352,0.076806214,856.1374118,1225.543343,693.5301363
2/13/20,United States of America,0,,,87,,,0.019560437,0.019560437,0.019560437,72.08224184,72.08224184,72.08224184,1,,,,0,,,0.02652611,,,5.96E-06,5.96E-06,5.96E-06,0.021977718,0.021977718,0.021977718,0.000304898,0.064454276,0.053468724,0.090130639,1067.533727,1521.152667,868.8961798
2/14/20,United States of America,0,,,87,,,0.012190732,0.012190732,0.012190732,72.09443257,72.09443257,72.09443257,0,,,,0,,,0.02652611,,,3.72E-06,3.72E-06,3.72E-06,0.021981435,0.021981435,0.021981435,0,0.079656375,0.06674767,0.11034828,1328.789694,1883.071554,1087.814339
2/15/20,United States of America,0,,,87,,,0.00504662,0.00504662,0.00504662,72.09947919,72.09947919,72.09947919,0,,,,0,,,0.02652611,,,1.54E-06,1.54E-06,1.54E-06,0.021982974,0.021982974,0.021982974,0,0.10088597,0.085638489,0.137413423,1659.674216,2333.758354,1368.690369
2/16/20,United States of America,0,,,87,,,0.011186159,0.011186159,0.011186159,72.11066535,72.11066535,72.11066535,0,,,,0,,,0.02652611,,,3.41E-06,3.41E-06,3.41E-06,0.021986385,0.021986385,0.021986385,0,0.127817503,0.109641755,0.170959049,2078.888439,2894.467672,1728.292005
2/17/20,United States of America,0,,,87,,,0.017761782,0.017761782,0.017761782,72.12842713,72.12842713,72.12842713,0,,,,0,,,0.02652611,,,5.42E-06,5.42E-06,5.42E-06,0.0219918,0.0219918,0.0219918,0,0.167006842,0.145448919,0.218669888,2626.635357,3611.658391,2205.333521
