Entity,Code,Day,people_vaccinated
Alabama,,2021-01-12,70861
Alabama,,2021-01-13,74792
Alabama,,2021-01-14,80480
Alabama,,2021-01-15,86956
Alabama,,2021-01-19,114319
Alabama,,2021-01-20,121113
Alabama,,2021-01-21,144429
Alabama,,2021-01-22,174317
Alabama,,2021-01-23,193955
Alabama,,2021-01-24,213833
Alabama,,2021-01-25,220464
Alabama,,2021-01-26,223854
Alabama,,2021-01-27,232633
Alabama,,2021-01-28,241337
Alabama,,2021-01-29,256601
Alabama,,2021-01-30,288368
Alabama,,2021-01-31,298301
Alabama,,2021-02-01,301628
Alabama,,2021-02-02,312711
Alabama,,2021-02-03,324998
Alabama,,2021-02-04,338845
Alabama,,2021-02-05,353522
Alabama,,2021-02-06,370275
Alabama,,2021-02-07,375567
Alabama,,2021-02-08,378514
Alabama,,2021-02-09,395196
Alabama,,2021-02-10,412462
Alabama,,2021-02-11,431259
Alabama,,2021-02-12,448071
Alabama,,2021-02-13,467032
Alabama,,2021-02-14,474065
Alabama,,2021-02-16,486206
Alabama,,2021-02-17,494424
Alabama,,2021-02-18,505660
Alabama,,2021-02-19,545431
Alabama,,2021-02-20,560968
Alabama,,2021-02-21,567505
Alabama,,2021-02-22,583741
Alabama,,2021-02-23,593936
Alabama,,2021-02-24,604602
Alabama,,2021-02-25,615100
Alabama,,2021-02-26,627063
Alabama,,2021-02-27,643208
Alabama,,2021-02-28,649745
Alabama,,2021-03-01,653309
Alabama,,2021-03-02,663187
Alabama,,2021-03-03,674810
Alabama,,2021-03-04,688791
Alabama,,2021-03-05,704173
Alabama,,2021-03-06,721109
Alabama,,2021-03-07,727681
Alabama,,2021-03-08,732967
Alabama,,2021-03-09,747268
Alabama,,2021-03-10,768502
Alabama,,2021-03-11,790864
Alabama,,2021-03-12,816418
Alabama,,2021-03-13,841394
Alabama,,2021-03-14,849337
Alabama,,2021-03-15,854302
Alabama,,2021-03-16,871536
Alabama,,2021-03-17,893767
Alabama,,2021-03-18,912663
Alabama,,2021-03-19,937614
Alabama,,2021-03-20,960539
Alabama,,2021-03-21,968459
Alabama,,2021-03-22,972986
Alabama,,2021-03-23,994253
Alabama,,2021-03-24,1019858
Alabama,,2021-03-25,1048838
Alabama,,2021-03-26,1072623
Alabama,,2021-03-27,1098597
Alabama,,2021-03-28,1108253
Alabama,,2021-03-29,1113924
Alabama,,2021-03-30,1134739
Alabama,,2021-03-31,1155139
Alabama,,2021-04-01,1184284
Alabama,,2021-04-02,1211424
Alabama,,2021-04-03,1234131
Alabama,,2021-04-04,1242706
Alaska,,2021-01-12,22486
Alaska,,2021-01-13,24541
Alaska,,2021-01-14,35508
Alaska,,2021-01-15,39546
Alaska,,2021-01-19,55434
Alaska,,2021-01-20,56911
Alaska,,2021-01-21,59449
Alaska,,2021-01-22,67262
Alaska,,2021-01-23,73014
Alaska,,2021-01-24,77925
Alaska,,2021-01-25,80226
Alaska,,2021-01-26,81200
Alaska,,2021-01-27,83363
Alaska,,2021-01-28,85672
Alaska,,2021-01-29,88654
Alaska,,2021-01-30,91794
Alaska,,2021-01-31,94889
Alaska,,2021-02-01,96396
Alaska,,2021-02-02,97076
Alaska,,2021-02-03,98076
Alaska,,2021-02-04,99596
Alaska,,2021-02-05,101225
Alaska,,2021-02-06,103163
Alaska,,2021-02-07,106311
Alaska,,2021-02-08,109890
Alaska,,2021-02-09,110936
Alaska,,2021-02-10,112448
Alaska,,2021-02-11,116001
Alaska,,2021-02-12,118189
Alaska,,2021-02-13,122463
Alaska,,2021-02-14,126381
Alaska,,2021-02-16,129658
Alaska,,2021-02-17,130751
Alaska,,2021-02-18,133491
Alaska,,2021-02-19,143887
Alaska,,2021-02-20,148299
Alaska,,2021-02-21,152349
Alaska,,2021-02-22,153572
Alaska,,2021-02-23,154618
Alaska,,2021-02-24,156267
Alaska,,2021-02-25,158792
Alaska,,2021-02-26,161595
Alaska,,2021-02-27,163739
Alaska,,2021-02-28,166735
Alaska,,2021-03-01,168069
Alaska,,2021-03-02,168646
Alaska,,2021-03-03,170586
Alaska,,2021-03-04,172414
Alaska,,2021-03-05,174588
Alaska,,2021-03-06,178237
Alaska,,2021-03-07,180948
Alaska,,2021-03-08,182230
Alaska,,2021-03-09,184906
Alaska,,2021-03-10,188281
Alaska,,2021-03-11,190712
Alaska,,2021-03-12,193951
Alaska,,2021-03-13,197436
Alaska,,2021-03-14,202410
Alaska,,2021-03-15,205256
Alaska,,2021-03-16,206403
Alaska,,2021-03-17,210932
Alaska,,2021-03-18,213432
Alaska,,2021-03-19,216781
Alaska,,2021-03-20,221157
Alaska,,2021-03-21,228333
Alaska,,2021-03-22,230614
Alaska,,2021-03-23,231342
Alaska,,2021-03-24,233037
Alaska,,2021-03-25,236062
Alaska,,2021-03-26,239599
Alaska,,2021-03-27,242733
Alaska,,2021-03-28,245355
Alaska,,2021-03-29,246515
Alaska,,2021-03-30,247097
Alaska,,2021-03-31,248711
Alaska,,2021-04-01,250378
Alaska,,2021-04-02,252586
Alaska,,2021-04-03,254263
Alaska,,2021-04-04,257375
American Samoa,ASM,2021-01-12,842
American Samoa,ASM,2021-01-13,1193
American Samoa,ASM,2021-01-14,2409
American Samoa,ASM,2021-01-15,3144
American Samoa,ASM,2021-01-19,3985
American Samoa,ASM,2021-01-20,4476
American Samoa,ASM,2021-01-21,4734
American Samoa,ASM,2021-01-22,5627
American Samoa,ASM,2021-01-23,5881
American Samoa,ASM,2021-01-24,7096
American Samoa,ASM,2021-01-25,7096
American Samoa,ASM,2021-01-26,7365
American Samoa,ASM,2021-01-27,8133
American Samoa,ASM,2021-01-28,8133
American Samoa,ASM,2021-01-29,8926
American Samoa,ASM,2021-01-30,8926
American Samoa,ASM,2021-01-31,8926
American Samoa,ASM,2021-02-01,9713
American Samoa,ASM,2021-02-02,9713
American Samoa,ASM,2021-02-03,9759
American Samoa,ASM,2021-02-04,9761
American Samoa,ASM,2021-02-05,9775
American Samoa,ASM,2021-02-06,9779
American Samoa,ASM,2021-02-07,9779
American Samoa,ASM,2021-02-08,9779
American Samoa,ASM,2021-02-09,9792
American Samoa,ASM,2021-02-10,9818
American Samoa,ASM,2021-02-11,9822
American Samoa,ASM,2021-02-12,10057
American Samoa,ASM,2021-02-13,10062
American Samoa,ASM,2021-02-14,10062
American Samoa,ASM,2021-02-16,10236
American Samoa,ASM,2021-02-17,10267
American Samoa,ASM,2021-02-18,10267
American Samoa,ASM,2021-02-19,10267
American Samoa,ASM,2021-02-20,10831
American Samoa,ASM,2021-02-21,10948
American Samoa,ASM,2021-02-22,11054
American Samoa,ASM,2021-02-23,11054
American Samoa,ASM,2021-02-24,11814
American Samoa,ASM,2021-02-25,11814
American Samoa,ASM,2021-02-26,12351
American Samoa,ASM,2021-02-27,12354
American Samoa,ASM,2021-02-28,12355
American Samoa,ASM,2021-03-01,12355
American Samoa,ASM,2021-03-02,13028
American Samoa,ASM,2021-03-03,13029
American Samoa,ASM,2021-03-04,13467
American Samoa,ASM,2021-03-05,13468
American Samoa,ASM,2021-03-06,13468
American Samoa,ASM,2021-03-07,13469
American Samoa,ASM,2021-03-08,13469
American Samoa,ASM,2021-03-09,13471
American Samoa,ASM,2021-03-10,15085
American Samoa,ASM,2021-03-11,15085
American Samoa,ASM,2021-03-12,15085
American Samoa,ASM,2021-03-13,15082
American Samoa,ASM,2021-03-14,15083
American Samoa,ASM,2021-03-15,15377
American Samoa,ASM,2021-03-16,15378
American Samoa,ASM,2021-03-17,15379
American Samoa,ASM,2021-03-18,15381
American Samoa,ASM,2021-03-19,15383
American Samoa,ASM,2021-03-20,15384
American Samoa,ASM,2021-03-21,15386
American Samoa,ASM,2021-03-22,16916
American Samoa,ASM,2021-03-23,17114
American Samoa,ASM,2021-03-24,17371
American Samoa,ASM,2021-03-25,17385
American Samoa,ASM,2021-03-26,17548
American Samoa,ASM,2021-03-27,17567
American Samoa,ASM,2021-03-28,17570
American Samoa,ASM,2021-03-29,17575
American Samoa,ASM,2021-03-30,17718
American Samoa,ASM,2021-03-31,17856
American Samoa,ASM,2021-04-01,17856
American Samoa,ASM,2021-04-02,18097
American Samoa,ASM,2021-04-03,18097
American Samoa,ASM,2021-04-04,18099
Arizona,,2021-01-12,95141
Arizona,,2021-01-13,104387
Arizona,,2021-01-14,157397
Arizona,,2021-01-15,176213
Arizona,,2021-01-19,235331
Arizona,,2021-01-20,246960
Arizona,,2021-01-21,262120
Arizona,,2021-01-22,280227
Arizona,,2021-01-23,305744
Arizona,,2021-01-24,332095
Arizona,,2021-01-25,350648
Arizona,,2021-01-26,366018
Arizona,,2021-01-27,389059
Arizona,,2021-01-28,412841
Arizona,,2021-01-29,439897
Arizona,,2021-01-30,469916
Arizona,,2021-01-31,500942
Arizona,,2021-02-01,524413
Arizona,,2021-02-02,534476
Arizona,,2021-02-03,553373
Arizona,,2021-02-04,573845
Arizona,,2021-02-05,597525
Arizona,,2021-02-06,629750
Arizona,,2021-02-07,656909
Arizona,,2021-02-08,678697
Arizona,,2021-02-09,695970
Arizona,,2021-02-10,719051
Arizona,,2021-02-11,747599
Arizona,,2021-02-12,780057
Arizona,,2021-02-13,811080
Arizona,,2021-02-14,840252
Arizona,,2021-02-16,886107
Arizona,,2021-02-17,892791
Arizona,,2021-02-18,914468
Arizona,,2021-02-19,1036237
Arizona,,2021-02-20,1064109
Arizona,,2021-02-21,1087921
Arizona,,2021-02-22,1083205
Arizona,,2021-02-23,1095494
Arizona,,2021-02-24,1110854
Arizona,,2021-02-25,1136024
Arizona,,2021-02-26,1168054
Arizona,,2021-02-27,1195110
Arizona,,2021-02-28,1220706
Arizona,,2021-03-01,1244879
Arizona,,2021-03-02,1262868
Arizona,,2021-03-03,1277294
Arizona,,2021-03-04,1298827
Arizona,,2021-03-05,1325003
Arizona,,2021-03-06,1328642
Arizona,,2021-03-07,1388900
Arizona,,2021-03-08,1416598
Arizona,,2021-03-09,1435152
Arizona,,2021-03-10,1464494
Arizona,,2021-03-11,1496266
Arizona,,2021-03-12,1529482
Arizona,,2021-03-13,1562876
Arizona,,2021-03-14,1602626
Arizona,,2021-03-15,1629972
Arizona,,2021-03-16,1655300
Arizona,,2021-03-17,1682456
Arizona,,2021-03-18,1716937
Arizona,,2021-03-19,1720172
Arizona,,2021-03-20,1762337
Arizona,,2021-03-21,1804760
Arizona,,2021-03-22,1835039
Arizona,,2021-03-23,1851810
Arizona,,2021-03-24,1877865
Arizona,,2021-03-25,1940953
Arizona,,2021-03-26,1983569
Arizona,,2021-03-27,2030110
Arizona,,2021-03-28,2072778
Arizona,,2021-03-29,2105116
Arizona,,2021-03-30,2125696
Arizona,,2021-03-31,2157694
Arizona,,2021-04-01,2194105
Arizona,,2021-04-02,2235527
Arizona,,2021-04-03,2276832
Arizona,,2021-04-04,2312278
Arkansas,,2021-01-12,39357
Arkansas,,2021-01-13,80458
Arkansas,,2021-01-14,90339
Arkansas,,2021-01-15,97829
Arkansas,,2021-01-19,118763
Arkansas,,2021-01-20,144792
Arkansas,,2021-01-21,144792
Arkansas,,2021-01-22,167788
Arkansas,,2021-01-23,167788
Arkansas,,2021-01-24,179290
Arkansas,,2021-01-25,185546
Arkansas,,2021-01-26,196815
Arkansas,,2021-01-27,209445
Arkansas,,2021-01-28,209445
Arkansas,,2021-01-29,221552
Arkansas,,2021-01-30,233935
Arkansas,,2021-01-31,244867
Arkansas,,2021-02-01,249943
Arkansas,,2021-02-02,251841
Arkansas,,2021-02-03,256307
Arkansas,,2021-02-04,266563
Arkansas,,2021-02-05,274459
Arkansas,,2021-02-06,290153
Arkansas,,2021-02-07,300139
